Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,0.062011719,0.916503906,0.404785156,0.549316406,-3.967285156,0.854492188,1.90E+08
192.168.43.159,0.088378906,0.90234375,0.402832031,-2.44140625,-5.859375,1.159667969,1.90E+08
192.168.43.159,0.067871094,0.907226563,0.387207031,-3.295898438,-2.319335938,0.793457031,1.90E+08
192.168.43.159,0.075195313,0.898925781,0.398925781,-4.272460938,-1.098632813,0.793457031,1.90E+08
192.168.43.159,0.078125,0.894042969,0.405273438,-5.249023438,-0.610351563,0.549316406,1.90E+08
192.168.43.159,0.080566406,0.895996094,0.423828125,-5.37109375,-1.220703125,0.48828125,1.90E+08
192.168.43.159,0.061523438,0.893554688,0.426269531,-4.699707031,-0.671386719,0.305175781,1.90E+08
192.168.43.159,0.066894531,0.893554688,0.428710938,-3.295898438,-0.732421875,0.427246094,1.90E+08
192.168.43.159,0.078613281,0.899414063,0.409179688,-2.624511719,-1.098632813,0.366210938,1.90E+08
192.168.43.159,0.087890625,0.901367188,0.404785156,-2.502441406,-1.098632813,0.183105469,1.90E+08
192.168.43.159,0.075195313,0.896484375,0.41015625,-3.967285156,-0.48828125,0.366210938,1.90E+08
192.168.43.159,0.072265625,0.884765625,0.440429688,-4.8828125,1.281738281,0.305175781,1.90E+08
192.168.43.159,0.064453125,0.887695313,0.452148438,-3.173828125,2.136230469,-0.122070313,1.90E+08
192.168.43.159,0.085449219,0.90234375,0.41015625,-0.366210938,-0.793457031,0.061035156,1.90E+08
192.168.43.159,0.083496094,0.892089844,0.411132813,-0.854492188,-1.220703125,-0.244140625,1.90E+08
192.168.43.159,0.073730469,0.886230469,0.422363281,-1.953125,0.061035156,-0.610351563,1.90E+08
192.168.43.159,0.07421875,0.8828125,0.439941406,-2.258300781,1.037597656,-0.671386719,1.90E+08
192.168.43.159,0.079101563,0.890625,0.450683594,-1.281738281,0.183105469,-0.793457031,1.90E+08
192.168.43.159,0.073730469,0.895996094,0.448242188,0.793457031,-0.244140625,-0.610351563,1.90E+08
192.168.43.159,0.062988281,0.88671875,0.413574219,2.502441406,1.525878906,0.244140625,1.90E+08
192.168.43.159,0.073730469,0.887207031,0.419433594,1.525878906,1.953125,-0.183105469,1.90E+08
192.168.43.159,0.08203125,0.886230469,0.437011719,1.098632813,0.793457031,-0.793457031,1.90E+08
192.168.43.159,0.072753906,0.888671875,0.447265625,1.953125,1.525878906,-0.915527344,1.90E+08
192.168.43.159,0.073242188,0.895507813,0.444824219,4.211425781,1.098632813,-0.854492188,1.90E+08
